gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
0,0.692307692,0.692307692,1,0.444444444,0.5,0.909090909,0,0,0.5,0.909090909,0.37755102,0.704081633,1,1,1,M
0,0.307692308,0.307692308,1,0.444444444,0,0.636363636,0,0,0.14,0.131313131,0.030612245,0.704081633,0,0,0,L
1,0.307692308,0.307692308,1,0.444444444,0,0.636363636,0,0,0.19,0.202020202,0.163265306,0.5,0,1,1,M
1,0.307692308,0.307692308,0,0.666666667,0,0.636363636,0,0,0.1,0.121212121,0.071428571,0.326530612,1,1,0,L
0,0.307692308,0.307692308,0,0.666666667,0,0.636363636,0,0,0.3,0.353535354,0.285714286,0.908163265,1,1,1,M
0,0.307692308,0.307692308,0,0.666666667,0,0.636363636,0,0,0.33,0.333333333,0.306122449,0.908163265,0,0,1,M
1,0.307692308,0.307692308,1,0.444444444,0,0.818181818,0,0,0.2,0.121212121,0.153061224,0.704081633,0,1,0,L
1,0.307692308,0.307692308,0.5,0.222222222,0,0.272727273,0,0,0.07,0.101010101,0.010204082,0.295918367,0,0,0,L
0,0.307692308,0.307692308,0,1,0,0.272727273,0,1,0.7,0.04040404,0.397959184,0.908163265,1,1,1,H
0,0.307692308,0.307692308,0,1,0,0.272727273,0,1,0.13,0.808080808,0.408163265,0.887755102,1,1,1,H
0,0.307692308,0.307692308,0,1,0,0.272727273,0,0,0.29,0.393939394,0.510204082,0.775510204,1,1,1,M
0,0.307692308,0.307692308,0,1,0,0.272727273,0,0,0.2,0.141414141,0.12244898,0.704081633,0,0,0,L
1,0.307692308,0.307692308,0,1,0,0.272727273,0,0,0.39,0.151515152,0.163265306,0.5,0,1,0,L
0,0.307692308,0.307692308,0,1,0,0.272727273,0,0,0.55,0.909090909,0.163265306,0.397959184,0,0,1,M
0,0.307692308,0.307692308,0,0.888888889,0,0.909090909,0,1,0.49,0.707070707,0.193877551,0.755102041,1,1,1,H
1,0.307692308,0.307692308,0,1,0,0.272727273,0,1,0.12,0.505050505,0.081632653,0.295918367,0,0,0,L
1,0.307692308,0.307692308,1,0.444444444,0,0.727272727,0,0,0.16,0.141414141,0.06122449,0.193877551,1,1,0,L
1,0.923076923,0.923076923,1,0.555555556,0.5,0.727272727,0,0,0.19,0.050505051,0.040816327,0,1,1,0,L
1,0.307692308,0.307692308,1,0.444444444,0,0.727272727,0,0,0.05,0.02020202,0.06122449,0.040816327,1,1,0,L
1,0.307692308,0.307692308,1,0.444444444,0,0.727272727,0,0,0.28,0.606060606,0.193877551,0.5,1,1,1,M
0,0.923076923,0.923076923,1,0.444444444,0,0.727272727,0,0,0.27,0.222222222,0.224489796,0.397959184,0,1,1,M
0,0.230769231,0.230769231,0.5,0.222222222,0,0.272727273,0,1,0.21,0.101010101,0.285714286,0.193877551,0,1,0,L
1,0.307692308,0.307692308,0,0.777777778,0,0.636363636,0,0,0.5,0.707070707,0.326530612,0.397959184,1,1,1,M
1,1,1,0,0.777777778,0,0.636363636,0,1,0.8,0.909090909,0.714285714,0.806122449,1,1,1,H
1,0.307692308,0.307692308,0,0.777777778,0,0.636363636,0,0,0.17,0.131313131,0.163265306,0.112244898,1,0,1,M
1,0.307692308,0.307692308,0,0.777777778,0,0.636363636,0,0,0,0.050505051,0.071428571,0.010204082,0,0,0,L
1,0.307692308,0.307692308,0,1,0,0.272727273,0,0,0.13,0.050505051,0.183673469,0.183673469,0,0,0,L
0,0.307692308,0.307692308,0,1,0,0.272727273,0,0,0.25,0.101010101,0.193877551,0.295918367,0,0,0,M
0,0.923076923,0.923076923,0,1,0,0.272727273,0,1,0.65,0.757575758,0.234693878,0.806122449,1,1,1,H
0,0.923076923,0.923076923,0,1,0,0.636363636,0,1,0.7,0.696969697,0.357142857,0.295918367,1,1,1,H
1,0.230769231,0.230769231,1,0.444444444,0,0.636363636,0,0,0.39,0.404040404,0.112244898,0.326530612,0,0,1,M
1,0.230769231,0.230769231,1,0.444444444,0,0.636363636,0,0,0.22,0.303030303,0.102040816,0.112244898,1,1,0,L
1,0.307692308,0.307692308,1,0.444444444,0,0.636363636,0,0,0.29,0.222222222,0.091836735,0.193877551,1,1,1,M
1,0.307692308,0.307692308,1,0.444444444,0,0.727272727,0,0,0.11,0.02020202,0.020408163,0.071428571,0,0,1,L
0,0.307692308,0.307692308,1,0.444444444,0,0.272727273,0,0,0.19,0.303030303,0.265306122,0.183673469,1,0,0,M
1,0.307692308,0.307692308,1,0.444444444,0.5,0.636363636,0,0,0.12,0,0.06122449,0.12244898,0,0,1,L
1,0.230769231,0.230769231,1,0.444444444,0,0.818181818,0,1,0.5,0.909090909,0.295918367,0.602040816,1,1,1,M
1,0.076923077,0.076923077,0,0.666666667,0,0.636363636,0,1,0.15,0.707070707,0.37755102,0.43877551,1,1,1,M
1,0.307692308,0.307692308,0,0.666666667,0,0.636363636,0,0,0.2,0.808080808,0.336734694,0.326530612,1,1,1,M
1,0.307692308,0.307692308,0,0.888888889,0,0.818181818,0,0,0.13,0.03030303,0.112244898,0.081632653,0,0,0,L
0,0.384615385,0.384615385,1,0.444444444,0.5,0.727272727,0,1,0.8,0.909090909,0.5,0.551020408,1,0,1,H
1,0.307692308,0.307692308,1,0.444444444,0,0.727272727,0,0,0.08,0.151515152,0.102040816,0.397959184,1,0,1,L
1,0.307692308,0.307692308,0.5,0,0,0.636363636,0,0,0.08,0.252525253,0.010204082,0.704081633,0,0,0,L
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.07,0.050505051,0.020408163,0.806122449,1,1,0,L
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.07,0.04040404,0.102040816,0.5,0,1,0,M
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.5,0.707070707,0.510204082,0.091836735,1,1,0,H
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.01,0,0.010204082,0.112244898,0,0,0,L
1,0.692307692,0.692307692,0.5,0,0.5,0.636363636,0,0,0.7,0.121212121,0.408163265,0.5,1,1,1,H
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.19,0.707070707,0.030612245,0.5,0,0,1,L
0,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.03,0.121212121,0.040816327,0.326530612,0,0,1,L
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.05,0.202020202,0.010204082,0.5,1,1,0,L
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.04,0.080808081,0.102040816,0.602040816,1,1,0,L
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.8,0.909090909,0.56122449,0.183673469,1,1,1,H
0,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.5,0.707070707,0.193877551,0.142857143,1,1,1,H
1,0.923076923,0.923076923,0.5,0,0.5,0.636363636,0,0,0.55,0.898989899,0.408163265,0.397959184,1,1,1,H
0,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.8,0.444444444,0.357142857,0.091836735,0,1,0,L
0,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,1,0.808080808,0.020408163,0.704081633,0,0,1,H
0,0.307692308,0.307692308,0.5,0,1,0.636363636,0,0,0.14,0.606060606,0.112244898,0.755102041,1,1,1,H
0,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.06,0.02020202,0.387755102,0.112244898,0,0,1,M
0,0.307692308,0.307692308,0.5,0,1,0.636363636,0,0,0.1,0.03030303,0,0.295918367,0,0,1,M
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.5,0.070707071,0.091836735,0.5,1,0,0,M
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.5,0.909090909,0.408163265,0.908163265,1,0,1,M
0,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,1,0.7,0.929292929,0.510204082,0.06122449,1,1,1,H
0,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.02,0.060606061,0.020408163,0.071428571,0,0,0,L
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.01,0.070707071,0.06122449,0.091836735,0,0,0,L
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0,0.121212121,0.030612245,0.020408163,1,1,0,M
0,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0,0,0.051020408,0.806122449,1,1,0,L
0,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.12,0.262626263,0.071428571,0.397959184,1,1,1,M
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.7,0.909090909,0.418367347,0.326530612,1,0,1,H
1,0.692307692,0.692307692,0.5,0,0.5,0.636363636,0,0,0.07,0.121212121,0.051020408,0.020408163,0,0,0,M
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.9,0.707070707,0.306122449,0.132653061,0,0,1,M
0,0.230769231,0.230769231,0.5,0,0.5,0.636363636,0,1,0.7,0.888888889,0.56122449,0.397959184,1,1,1,H
1,0.307692308,0.307692308,0.5,0,1,0.636363636,0,0,0.77,0.808080808,0.520408163,0.806122449,0,1,1,M
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.02,0.050505051,0.030612245,0.5,0,0,0,L
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.25,0.272727273,0,0.693877551,0,0,0,L
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.11,0.02020202,0,0.5,0,0,0,L
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0,0.080808081,0.112244898,0.704081633,1,1,0,L
0,0.307692308,0.307692308,0.5,0,1,0.636363636,0,1,0.77,0.808080808,0.12244898,0.183673469,1,1,0,M
0,0.307692308,0.307692308,0.5,0,1,0.636363636,0,1,0.25,0.292929293,0.408163265,0.163265306,0,1,1,H
0,0.307692308,0.307692308,0.5,0,1,0.636363636,0,1,0.24,0.353535354,0.234693878,0.214285714,1,1,0,M
1,0.307692308,0.307692308,0.5,0,1,0.636363636,0,0,0.6,0.606060606,0.030612245,0.602040816,0,0,1,M
1,0.307692308,0.307692308,0.5,0,1,0.636363636,0,1,0.21,0.121212121,0,0.5,1,1,1,M
1,0.307692308,0.307692308,0.5,0,1,0.636363636,0,1,0,0.04040404,0.081632653,0.295918367,0,0,0,L
0,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.66,0.909090909,0.56122449,0.112244898,1,1,0,M
0,0.384615385,0.384615385,0.5,0,0.5,0.636363636,0,0,0.7,0.98989899,0.071428571,0.040816327,1,1,1,M
1,0.307692308,0.307692308,0.5,0,1,0.636363636,0,0,0,0.060606061,0.040816327,0.142857143,1,0,1,L
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.12,0.303030303,0,0.163265306,0,1,0,L
0,0.076923077,0.076923077,0.5,0,1,0.636363636,0,0,0.02,0.090909091,0.071428571,0.551020408,1,1,1,M
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.55,0.333333333,0.06122449,0.081632653,0,0,0,L
1,0.307692308,0.307692308,0.5,0,1,0.636363636,0,0,0.12,0.101010101,0.204081633,0.153061224,0,0,1,L
1,0.307692308,0.307692308,0.5,0,0.5,0.636363636,0,0,0.7,0.909090909,0.020408163,0.010204082,1,1,1,L
0,0.307692308,0.307692308,0.5,0,1,0.636363636,0,0,0.07,0.090909091,0.051020408,0.295918367,0,0,0,L
1,0.230769231,0.230769231,0.5,0,1,0.636363636,0,0,0.8,0.424242424,0.204081633,0.5,1,1,1,M
1,0.307692308,0.307692308,0.5,0,1,0.636363636,1,0,0,0.03030303,0.102040816,0.020408163,0,0,0,L
1,0.307692308,0.307692308,0.5,0,0,0.636363636,1,0,0.12,0.606060606,0,0.704081633,1,1,0,L
1,0.307692308,0.307692308,1,0.444444444,0,0.818181818,1,0,0.8,0.808080808,0.153061224,0.704081633,1,1,1,H
0,0,0,1,0.444444444,0,0.818181818,1,1,0.7,0.808080808,0.969387755,0.704081633,1,1,1,H
0,0.307692308,0.923076923,0,0.888888889,0,0.818181818,1,1,0.7,0.808080808,0.969387755,0.704081633,1,1,1,H
0,0.307692308,0.923076923,0,0.888888889,0,0.818181818,0,1,0.6,0.808080808,0.510204082,0.397959184,0,0,1,M
0,0.230769231,0,1,0.444444444,0,0.818181818,0,1,1,0.808080808,0.969387755,0.908163265,0,0,1,H
1,0.230769231,0.923076923,1,0.444444444,0,0.818181818,0,1,1,0.858585859,0.867346939,0.704081633,0,0,1,M
1,0.846153846,0.846153846,1,0.444444444,0,0.818181818,0,0,0.1,0.606060606,0.051020408,0.193877551,1,0,0,L
1,0.846153846,0.846153846,1,0.444444444,0,0.818181818,1,0,0.19,0.656565657,0.510204082,0.091836735,0,0,0,L
1,0.846153846,0.846153846,1,0.444444444,0,0.818181818,1,0,0.1,0.757575758,0.56122449,0.102040816,1,1,1,M
1,0.307692308,0.307692308,1,0.444444444,0,0.818181818,1,0,0.8,0.909090909,0.56122449,0.183673469,1,1,1,H
1,0.307692308,0.307692308,1,0.444444444,0,0.818181818,1,0,0.1,0.101010101,0.153061224,0.183673469,0,0,0,L
1,0.846153846,0.692307692,1,0.444444444,0,0.818181818,1,0,0.7,0.757575758,0.56122449,0.102040816,1,0,1,M
0,0.384615385,0.384615385,1,0.444444444,0,0.818181818,1,1,1,0.757575758,0.510204082,0.704081633,1,1,1,H
0,0.384615385,0.384615385,1,0.444444444,0,0.818181818,1,0,0.1,0.797979798,0.306122449,0.295918367,0,0,1,M
0,0.230769231,0.230769231,1,0.444444444,0,0.818181818,1,0,0.6,0.555555556,0.306122449,0.397959184,0,0,1,M
0,0.230769231,0.384615385,1,0.444444444,0,0.818181818,1,1,1,0.757575758,0.510204082,0.704081633,1,0,1,H
1,0.692307692,0.692307692,0,0.888888889,0,0.818181818,1,0,0.8,0.808080808,0.520408163,0.591836735,1,1,1,H
1,0.692307692,0.923076923,0,0.888888889,0,0.909090909,1,0,0.23,0.636363636,0.724489796,0.897959184,1,1,1,M
0,0.692307692,0.923076923,0,0.888888889,0.5,0.909090909,1,0,1,0.919191919,1,0.397959184,1,0,1,H
1,0.692307692,0.923076923,0,0.888888889,0.5,1,1,0,0.1,0.515151515,0.408163265,0.397959184,0,0,0,L
1,0.692307692,0.923076923,0,0.888888889,0.5,0.272727273,1,0,0.7,0.505050505,0.336734694,0.408163265,0,0,0,M
1,0.692307692,0.923076923,0,0.888888889,0.5,0.727272727,1,0,0.7,0.585858586,0.744897959,0.918367347,1,0,1,H
0,0.846153846,0.923076923,0,0.888888889,0.5,0.363636364,1,0,0.7,0.505050505,0.306122449,0.489795918,1,1,1,M
1,0.846153846,0.846153846,0,0.888888889,0.5,0.909090909,1,0,0.7,0.505050505,0.336734694,0.397959184,0,1,1,M
1,0.846153846,0.307692308,1,0.444444444,0.5,0.909090909,1,0,0.22,0.515151515,0.489795918,0.091836735,0,0,0,L
0,0.307692308,0.307692308,1,0.444444444,0.5,0.909090909,1,0,0.62,0.686868687,0.489795918,0.806122449,1,1,1,M
0,0.230769231,0.230769231,1,0.444444444,0.5,0.909090909,1,1,0.82,0.898989899,0.591836735,0.5,1,1,1,H
1,0.230769231,0.230769231,1,0.444444444,0.5,0.909090909,1,1,0.72,0.808080808,0.591836735,0.663265306,0,0,1,M
0,0.230769231,0.230769231,0.5,0,0.5,0.363636364,1,1,0.7,0.828282828,0.030612245,0.734693878,0,0,1,H
0,0.230769231,0.923076923,0.5,0,0.5,0.363636364,1,1,0.6,0.828282828,0.948979592,0.428571429,0,0,0,M
1,0.230769231,0.230769231,0.5,0,0.5,0.363636364,1,1,0.55,0.727272727,0.846938776,0.132653061,1,1,0,M
0,0.538461538,0.538461538,0.5,0,0.5,0.363636364,1,1,0.72,0.656565657,0.744897959,0.663265306,1,1,1,H
1,0.307692308,0.307692308,0.5,0,0.5,0.363636364,1,1,0.51,0.828282828,0.540816327,0.428571429,0,0,1,M
1,0.846153846,0.846153846,0.5,0,0.5,0.363636364,1,1,0.8,0.929292929,0.846938776,0.428571429,1,1,1,H
1,0.307692308,0.307692308,0.5,0,0.5,0.363636364,1,1,0.6,0.525252525,0.234693878,0.326530612,1,1,1,H
1,0.307692308,0.307692308,0.5,0,0.5,0.363636364,1,1,0.3,0.121212121,0.295918367,0.224489796,0,0,1,M
1,0.307692308,0.307692308,0.5,0,0.5,0.363636364,1,0,0.4,0.626262626,0.846938776,0.326530612,1,1,1,H
1,0.307692308,0.307692308,0.5,0,0.5,0.363636364,1,1,0.6,0.525252525,0.234693878,0.326530612,0,1,1,M
1,0.076923077,0.076923077,0.5,0,0.5,0.363636364,1,1,0.2,0.222222222,0.540816327,0.12244898,0,1,0,L
1,0.769230769,0.769230769,0.5,0,0.5,0.363636364,1,1,0.2,0.525252525,0.234693878,0.326530612,1,1,0,L
0,0.230769231,0.230769231,0.5,0,0.5,0.363636364,1,0,0.5,0.626262626,0.744897959,0.428571429,1,0,0,M
1,0.076923077,0.076923077,0.5,0,0.5,0.363636364,1,0,0.1,0.02020202,0.132653061,0.530612245,0,0,0,L
1,0.846153846,0.846153846,0.5,0,0.5,0.363636364,1,1,0.6,0.525252525,0.234693878,0.326530612,1,0,1,H
0,0.923076923,0.923076923,0.5,0,0.5,0.363636364,1,1,0.15,0.525252525,0.846938776,0.102040816,1,0,1,M
0,0.384615385,0.384615385,0.5,0,0.5,0.363636364,1,1,0.8,0.424242424,0.336734694,0.12244898,1,0,1,H
1,0.384615385,0.384615385,0.5,0,0.5,0.363636364,1,1,0.4,0.515151515,0.204081633,0.326530612,0,0,1,M
0,0.692307692,0.692307692,0.5,0,0.5,0.363636364,1,0,0.6,0.707070707,0.642857143,0.93877551,1,0,1,H
1,0.230769231,0.230769231,0.5,0,0.5,0.363636364,1,0,0.5,0.626262626,0.132653061,0.326530612,0,0,0,L
1,0.307692308,0.307692308,1,0.555555556,0,0,1,1,0.85,0.757575758,0.632653061,0.530612245,1,0,1,H
0,0.384615385,0.384615385,1,0.555555556,0,0,1,0,0.25,0.151515152,0.326530612,0.530612245,0,0,1,M
1,0.384615385,0.384615385,1,0.555555556,0,0,1,1,0.1,0.353535354,0.306122449,0.12244898,0,0,0,L
1,0.384615385,0.230769231,1,0.555555556,0,0,1,1,0.87,0.656565657,0.836734694,0.326530612,1,1,1,H
1,0.307692308,0.307692308,1,0.555555556,0,0,1,1,0.85,0.151515152,0.224489796,0.530612245,1,1,1,M
0,0.307692308,0.307692308,1,0.555555556,0,0,1,0,0.8,0.717171717,0.530612245,0.510204082,1,1,1,M
1,0.307692308,0.307692308,1,0.555555556,0,0,1,1,0.75,0.717171717,0.734693878,0.530612245,1,1,1,H
0,0.307692308,0.307692308,1,0.555555556,0,0,1,0,0.85,0.666666667,0.12244898,0.224489796,0,0,1,M
1,0.307692308,0.307692308,1,0.555555556,0,0,1,0,0.23,0.252525253,0.326530612,0.530612245,0,0,1,L
1,0.307692308,0.307692308,1,0.555555556,0,0,1,0,0.15,0.252525253,0.37755102,0.12244898,1,1,0,L
1,0.307692308,0.307692308,1,0.555555556,0,0,1,1,0.95,0.919191919,0.632653061,0.530612245,1,1,1,M
1,0.538461538,0.538461538,1,0.555555556,0,0,1,1,0.81,0.757575758,0.632653061,0.530612245,0,0,1,M
1,0.538461538,0.538461538,1,0.555555556,0,0,1,1,0.53,0.757575758,0.734693878,0.224489796,0,0,1,M
1,0.307692308,0.307692308,1,0.555555556,0,0,1,0,0.15,0.434343434,0.428571429,0.326530612,1,1,1,M
1,0.307692308,0.307692308,1,0.555555556,0,0,1,1,0.92,0.656565657,0.632653061,0.530612245,1,1,1,H
1,0.307692308,0.307692308,1,0.555555556,0,0,1,1,0.83,0.757575758,0.632653061,0.530612245,0,0,1,H
1,0.538461538,0.538461538,1,0.555555556,0.5,0,1,0,0.27,0.151515152,0.428571429,0.530612245,0,0,0,L
1,0.307692308,0.307692308,1,0.555555556,0.5,0,1,0,0.45,0.95959596,0.12244898,0.12244898,0,0,1,M
1,0.307692308,0.307692308,1,0.555555556,0.5,0,1,1,0.15,0.909090909,0.530612245,0.836734694,1,0,1,H
0,0.384615385,0.384615385,1,0.555555556,0,0,1,1,0.45,0.585858586,0.530612245,0.428571429,1,1,1,H
1,0.307692308,0.307692308,1,0.555555556,0.5,0,1,0,0.25,0.050505051,0.12244898,0.326530612,1,1,1,M
0,0.307692308,0.307692308,1,0.555555556,0.5,0,1,0,0.22,0.515151515,0.428571429,0.397959184,1,0,1,M
1,0.230769231,0.230769231,1,0.555555556,0.5,0,1,0,0.29,0.101010101,0.12244898,0.234693878,0,0,0,L
0,0.692307692,0.692307692,1,0.555555556,0.5,0,1,1,0.72,0.515151515,0.428571429,0.234693878,1,0,0,H
1,0.307692308,0.307692308,1,0.555555556,0.5,0,1,0,0.67,0.313131313,0.428571429,0.132653061,1,1,1,M
1,0.307692308,0.307692308,1,0.555555556,1,1,1,0,0.17,0.212121212,0.428571429,0.132653061,1,1,1,M
1,0.846153846,0.846153846,1,0.555555556,1,1,1,1,0.27,0.414141414,0.5,0.132653061,0,0,1,M
1,0.307692308,0.307692308,1,0.555555556,1,1,1,0,0.7,0.818181818,0.397959184,0.846938776,0,0,1,M
1,0.230769231,0.692307692,1,0.555555556,1,1,1,1,0.27,0.909090909,0.836734694,0.132653061,1,1,1,H
1,0.307692308,0.307692308,1,0.555555556,1,1,1,0,0.17,0.616161616,0.428571429,0.132653061,0,0,1,M
1,0.846153846,0.846153846,1,0.555555556,1,1,1,1,0.87,0.818181818,0.428571429,0.183673469,1,1,1,H
1,0.846153846,0.846153846,1,0.555555556,1,1,1,0,0.07,0.616161616,0.224489796,0.132653061,0,0,0,L
1,0.307692308,0.307692308,1,0.555555556,1,1,1,0,0.17,0.505050505,0.020408163,0.030612245,0,0,0,L
1,0.307692308,0.307692308,1,0.555555556,1,1,1,0,0.05,0.212121212,0.428571429,0.132653061,0,1,0,L
1,0.076923077,0.076923077,1,0.555555556,1,1,1,1,0.27,0.414141414,0.326530612,0.612244898,1,0,0,M
0,0.230769231,0.307692308,1,0.555555556,1,1,1,0,0.87,0.888888889,0.408163265,0.091836735,1,1,1,M
1,0.307692308,0.307692308,1,0.555555556,1,1,1,1,0.96,0.616161616,0.428571429,0.948979592,1,0,1,H
1,0.307692308,0.307692308,1,0.555555556,1,1,1,1,0.57,0.515151515,0.469387755,0.336734694,1,1,1,M
